region,year,personal_income_per_capita,private_consumption_per_capita,gdp_per_capita,gni_per_capita
강원특별자치도,2014,16005,15389,26351,23571
강원특별자치도,2015,17113,16024,27608,25143
강원특별자치도,2016,17644,16388,29380,26610
강원특별자치도,2017,18305,17051,31200,28250
강원특별자치도,2018,19285,18029,32267,29533
강원특별자치도,2019,20221,18220,33780,31044
강원특별자치도,2020,21294,17735,33945,31285
강원특별자치도,2021,22104,18625,36350,33317
강원특별자치도,2022,23029,20235,37797,35422
강원특별자치도,2023,23326,21277,40713,37509
경기도,2014,17950,16570,30249,32178
경기도,2015,19096,17011,32590,34655
경기도,2016,19660,17653,34399,36112
경기도,2017,20414,18482,37146,39929
경기도,2018,21488,19048,38541,41771
경기도,2019,22552,19457,38135,40898
경기도,2020,23379,18667,38890,41282
경기도,2021,23962,19955,41392,44754
경기도,2022,25248,21807,42903,47144
경기도,2023,25696,22878,43070,47899
경상남도,2014,16662,15349,31316,27953
경상남도,2015,17690,15808,32739,29583
경상남도,2016,18181,16310,34005,30376
경상남도,2017,18530,16751,33985,31183
경상남도,2018,19217,17466,34291,31477
경상남도,2019,19860,17745,35355,32975
경상남도,2020,20622,17145,34325,32777
경상남도,2021,21262,18457,35661,33986
경상남도,2022,22447,20439,38612,35722
경상남도,2023,22769,21756,42144,38879
경상북도,2014,16440,14803,40839,30252
경상북도,2015,17424,15273,40916,31613
경상북도,2016,17628,15629,41820,32677
경상북도,2017,18106,16518,43005,33012
경상북도,2018,18856,17341,43129,33825
경상북도,2019,19655,17703,42598,34792
경상북도,2020,20631,17132,42263,34955
경상북도,2021,21251,18397,44957,37956
경상북도,2022,22426,19824,46243,38168
경상북도,2023,22921,21078,48812,41091
광주광역시,2014,17560,16171,23448,25677
광주광역시,2015,18632,16757,24731,26602
광주광역시,2016,18837,17481,26248,27895
광주광역시,2017,19483,18644,27449,29142
광주광역시,2018,20675,19639,28594,30657
광주광역시,2019,21759,20358,29807,32306
광주광역시,2020,22766,19591,30823,33187
광주광역시,2021,23649,20268,32098,34787
광주광역시,2022,25203,22144,33497,36826
광주광역시,2023,25378,23096,35452,38019
대구광역시,2014,16885,16212,21114,23925
대구광역시,2015,17939,16937,22685,25327
대구광역시,2016,18468,17544,23382,26455
대구광역시,2017,18955,18167,24170,27681
대구광역시,2018,19891,19225,24820,28554
대구광역시,2019,20760,19780,25653,29413
대구광역시,2020,21581,19041,25928,29509
대구광역시,2021,22197,20101,27770,31558
대구광역시,2022,23425,21467,29654,34000
대구광역시,2023,23760,22307,30985,34344
대전광역시,2014,18387,15998,23047,26759
대전광역시,2015,19568,16580,24568,28460
대전광역시,2016,19917,16991,26265,29703
대전광역시,2017,20619,18042,27281,31906
대전광역시,2018,21756,19080,28027,32556
대전광역시,2019,22978,19670,29870,34444
대전광역시,2020,23916,19173,31276,35367
대전광역시,2021,24774,20416,32928,36934
대전광역시,2022,26158,22356,34409,39378
대전광역시,2023,26493,23355,36645,40976
부산광역시,2014,17835,16328,23991,27178
부산광역시,2015,18609,16895,25707,27678
부산광역시,2016,18637,17174,26800,28369
부산광역시,2017,19161,18114,27210,28776
부산광역시,2018,20022,18704,28355,29617
부산광역시,2019,21096,19421,29436,30892
부산광역시,2020,21715,18948,29272,31112
부산광역시,2021,22338,20117,31950,32832
부산광역시,2022,23730,21857,34465,34263
부산광역시,2023,24026,23042,34762,35373
서울특별시,2014,21946,19370,36635,44291
서울특별시,2015,22822,19864,38911,45597
서울특별시,2016,23375,20899,41359,48496
서울특별시,2017,23976,22018,43731,50778
서울특별시,2018,25053,23301,46547,52690
서울특별시,2019,26229,23950,48248,53758
서울특별시,2020,26428,22946,49165,53474
서울특별시,2021,27119,24551,53373,59498
서울특별시,2022,28187,26617,56094,63778
서울특별시,2023,29372,27767,58255,65994
세종특별자치시,2014,24751,23596,67352,49840
세종특별자치시,2015,23323,22164,53194,44268
세종특별자치시,2016,22605,20077,46767,41933
세종특별자치시,2017,22678,20680,44964,41831
세종특별자치시,2018,22790,20459,41137,40267
세종특별자치시,2019,23515,20154,40597,42061
세종특별자치시,2020,24369,19063,40212,41899
세종특별자치시,2021,25346,20786,42797,45005
세종특별자치시,2022,25854,22367,42207,46146
세종특별자치시,2023,25995,23499,43174,47220
울산광역시,2014,22106,16643,63793,47558
울산광역시,2015,22904,17116,65408,50693
울산광역시,2016,22883,17928,65031,53523
울산광역시,2017,22973,18531,66786,52675
울산광역시,2018,23252,19014,65897,53566
울산광역시,2019,24079,19497,65486,54941
울산광역시,2020,24671,18923,59529,53378
울산광역시,2021,25672,20135,70889,57151
울산광역시,2022,27079,21698,76234,56854
울산광역시,2023,28102,23345,81235,60576
인천광역시,2014,16825,15137,26559,27301
인천광역시,2015,17960,15590,28376,28319
인천광역시,2016,18611,16456,29864,30331
인천광역시,2017,19297,16980,31198,31520
인천광역시,2018,20522,17979,31688,32354
인천광역시,2019,21517,18518,32272,34160
인천광역시,2020,22338,18130,32292,34505
인천광역시,2021,23053,18977,35388,37828
인천광역시,2022,24387,21129,38065,39748
인천광역시,2023,24665,21661,38840,41203
전라남도,2014,15940,14664,39322,29913
전라남도,2015,17211,15300,40834,35266
전라남도,2016,17863,15609,42473,37384
전라남도,2017,18433,16546,43582,37215
전라남도,2018,19384,17114,44086,36671
전라남도,2019,20355,17550,44535,37012
전라남도,2020,21395,17108,45339,40489
전라남도,2021,22270,17786,52489,40067
전라남도,2022,23748,19166,54179,36035
전라남도,2023,24604,20332,55513,44838
전북특별자치도,2014,16447,14648,25890,23819
전북특별자치도,2015,17500,15189,26827,25453
전북특별자치도,2016,17670,15105,27300,26438
전북특별자치도,2017,18298,16060,28545,27467
전북특별자치도,2018,19302,16705,29319,28576
전북특별자치도,2019,20271,17328,30400,30072
전북특별자치도,2020,21444,16943,31213,31318
전북특별자치도,2021,22029,17719,33164,34592
전북특별자치도,2022,23633,19291,34484,37379
전북특별자치도,2023,24157,20394,36283,36239
제주특별자치도,2014,16739,16653,27766,27424
제주특별자치도,2015,17959,17782,30275,29425
제주특별자치도,2016,18295,17786,32389,30966
제주특별자치도,2017,18731,18638,34134,32537
제주특별자치도,2018,19402,19144,33673,32497
제주특별자치도,2019,19979,19741,33545,32250
제주특별자치도,2020,20835,18988,32404,31825
제주특별자치도,2021,21396,19966,33861,36153
제주특별자치도,2022,22481,22266,35999,36865
제주특별자치도,2023,22893,23595,38450,36307
충청남도,2014,16447,14922,47563,34291
충청남도,2015,17704,15271,49568,36598
충청남도,2016,17842,15755,51891,38731
충청남도,2017,18332,16603,55839,40111
충청남도,2018,19292,17053,56126,40624
충청남도,2019,20125,17565,54857,41751
충청남도,2020,21308,17194,56448,42810
충청남도,2021,22047,18143,62474,46639
충청남도,2022,23176,19784,64469,48067
충청남도,2023,23647,20949,64709,49838
충청북도,2014,16048,15119,33496,28088
충청북도,2015,17470,15574,36656,29959
충청북도,2016,17894,15837,39848,32022
충청북도,2017,18634,16294,43254,33670
충청북도,2018,19734,16949,46002,35374
충청북도,2019,20770,17588,46777,37426
충청북도,2020,21801,16866,46462,37858
충청북도,2021,22873,18122,49519,40982
충청북도,2022,24181,19767,52252,44535
충청북도,2023,24667,20999,54214,45499
